JOB CODE,Compensation Grade,MIN,MID,MAX,FLSA,Job Class ID
71415,A00,$0.00,$0.00,$0.00,EXEMPT,P06
71416,A00,$0.00,$0.00,$0.00,EXEMPT,P06
71417,A00,$0.00,$0.00,$0.00,EXEMPT,P06
60012,A01,$40.13,$50.16,$60.19,NON-EXEMPT,P06
71580,A01,$40.13,$50.16,$60.19,EXEMPT,P06
71400,A02,$42.13,$52.67,$63.20,EXEMPT,P06
71404,A02,$42.13,$52.67,$63.20,EXEMPT,P06
71405,A02,$42.13,$52.67,$63.20,EXEMPT,P06
71406,A02,$42.13,$52.67,$63.20,EXEMPT,P06
71420,A02,$42.13,$52.67,$63.20,NON-EXEMPT,P06
71421,A02,$42.13,$52.67,$63.20,NON-EXEMPT,P06
71424,A02,$42.13,$52.67,$63.20,NON-EXEMPT,P06
71464,A02,$42.13,$52.67,$63.20,EXEMPT,P06
71465,A02,$42.13,$52.67,$63.20,EXEMPT,P06
71409,A03,$44.14,$55.18,$66.21,EXEMPT,P06
71407,A04,$46.35,$57.94,$69.53,EXEMPT,P06
71408,A04,$46.35,$57.94,$69.53,EXEMPT,P65
71412,A04,$46.35,$57.94,$69.53,EXEMPT,P62
71422,A04,$46.35,$57.94,$69.53,NON-EXEMPT,P65
71423,A04,$46.35,$57.94,$69.53,NON-EXEMPT,P62
71425,A04,$46.35,$57.94,$69.53,NON-EXEMPT,P06
71469,A04,$46.35,$57.94,$69.53,EXEMPT,P06
51588,A05,$48.55,$60.69,$72.83,EXEMPT,SA1
71414,A05,$48.55,$60.69,$72.83,EXEMPT,P66
71584,A05,$48.55,$60.69,$72.83,EXEMPT,P64
71585,A05,$48.55,$60.69,$72.83,EXEMPT,P64
71592,A05,$48.55,$60.69,$72.83,EXEMPT,P06
71593,A05,$48.55,$60.69,$72.83,EXEMPT,P06
71495,A08,$56.21,$70.26,$84.31,EXEMPT,P06
71411,A09,$59.02,$73.77,$88.53,EXEMPT,P61
71579,A09,$59.02,$73.77,$88.53,EXEMPT,P06
71413,A11,$65.07,$81.34,$97.60,EXEMPT,P61
60204,C06,$17.10,$22.24,$27.36,NON-EXEMPT,P46
60704,C06,$17.10,$22.24,$27.36,NON-EXEMPT,P46
60776,C07,$17.96,$23.35,$28.73,NON-EXEMPT,P46
